cole_area_ubicacion,cole_bilingue,edad_presentacion,estu_genero,fami_educacionmadre_cod,fami_educacionpadre_cod,fami_estratovivienda,fami_personashogar,fami_tienecomputador,fami_tieneinternet,punt_total
RURAL,No se sabe,20,M,10,10,Sin Estrato,5 a 6,Si,Si,280
URBANO,S,20,F,10,10,Estrato 5,5 a 6,Si,Si,340
URBANO,S,18,F,12,10,Estrato 6,3 a 4,Si,Si,320
URBANO,N,18,F,10,6,Estrato 3,1 a 2,Si,Si,360
URBANO,S,18,M,12,12,Estrato 4,3 a 4,Si,Si,400
URBANO,S,18,M,10,10,Estrato 4,3 a 4,Si,Si,300
URBANO,S,18,M,10,12,Estrato 6,3 a 4,Si,Si,380
URBANO,N,18,F,12,12,Estrato 3,3 a 4,Si,Si,280
URBANO,No se sabe,18,M,11,10,Estrato 4,5 a 6,Si,Si,320
URBANO,No se sabe,20,M,8,8,Estrato 3,5 a 6,Si,Si,260
URBANO,N,18,F,10,10,Estrato 3,3 a 4,Si,Si,340
URBANO,S,18,M,10,10,Estrato 4,3 a 4,Si,Si,260
URBANO,S,20,M,10,12,Estrato 6,3 a 4,Si,Si,420
URBANO,S,18,M,10,10,Estrato 4,3 a 4,Si,Si,340
URBANO,S,18,F,2,10,Estrato 6,5 a 6,Si,Si,400
URBANO,S,18,F,10,12,Estrato 4,3 a 4,Si,Si,320
URBANO,S,18,M,10,10,Estrato 5,5 a 6,Si,Si,320
URBANO,S,18,F,12,10,Estrato 4,3 a 4,Si,Si,480
RURAL,No se sabe,20,F,12,12,Estrato 6,3 a 4,Si,Si,400
URBANO,N,18,F,10,10,Estrato 3,7 a 8,Si,Si,320
URBANO,No se sabe,18,F,10,2,Estrato 4,7 a 8,Si,Si,340
RURAL,No se sabe,18,M,10,10,Estrato 5,5 a 6,Si,Si,300
URBANO,S,20,M,10,10,Estrato 6,5 a 6,Si,Si,340
URBANO,No se sabe,18,M,10,12,Estrato 4,3 a 4,Si,Si,380
URBANO,S,18,F,10,10,Estrato 6,5 a 6,Si,Si,340
URBANO,No se sabe,20,F,6,7,Estrato 2,7 a 8,Si,Si,200
URBANO,S,18,M,10,10,Estrato 6,5 a 6,Si,Si,340
URBANO,No se sabe,18,F,10,12,Estrato 4,3 a 4,Si,Si,320
URBANO,No se sabe,18,F,10,10,Estrato 5,3 a 4,Si,Si,340
URBANO,No se sabe,20,M,10,10,Estrato 5,3 a 4,Si,Si,320
URBANO,S,18,F,12,10,Estrato 4,3 a 4,Si,Si,340
URBANO,S,16,M,12,3,Estrato 3,3 a 4,Si,Si,380
URBANO,S,20,M,12,10,Estrato 6,1 a 2,Si,Si,300
URBANO,S,20,M,12,10,Estrato 4,1 a 2,Si,Si,380
URBANO,S,18,F,12,10,Estrato 5,3 a 4,Si,Si,320
URBANO,S,18,M,12,3,Estrato 4,3 a 4,Si,Si,360
URBANO,No se sabe,18,M,10,10,Estrato 6,3 a 4,Si,Si,340
URBANO,S,16,F,12,12,Estrato 3,3 a 4,Si,Si,320
URBANO,S,18,F,8,8,Estrato 3,3 a 4,Si,Si,300
RURAL,No se sabe,18,M,12,12,Estrato 6,5 a 6,Si,Si,380
URBANO,N,18,M,12,12,Estrato 6,3 a 4,Si,Si,400
URBANO,S,18,F,10,10,Estrato 6,3 a 4,Si,Si,360
URBANO,S,18,F,12,12,Estrato 6,3 a 4,Si,Si,380
URBANO,N,18,M,12,10,Estrato 6,5 a 6,Si,Si,340
URBANO,S,18,F,10,10,Estrato 6,5 a 6,Si,Si,380
URBANO,S,18,F,10,10,Estrato 6,3 a 4,Si,Si,300
URBANO,S,18,M,12,12,Estrato 5,3 a 4,Si,Si,420
URBANO,No se sabe,18,F,10,10,Estrato 6,5 a 6,Si,Si,360
URBANO,S,18,F,10,10,Estrato 4,3 a 4,Si,Si,360
URBANO,No se sabe,18,M,10,10,Estrato 6,3 a 4,Si,Si,340
URBANO,S,20,F,10,10,Estrato 4,3 a 4,Si,Si,340
URBANO,S,18,M,12,12,Estrato 5,5 a 6,Si,Si,440
URBANO,S,18,M,10,12,Estrato 3,3 a 4,Si,Si,260
URBANO,S,18,M,11,12,Estrato 6,1 a 2,Si,Si,260
URBANO,S,18,M,10,10,Estrato 6,3 a 4,Si,Si,380
RURAL,No se sabe,18,M,10,12,Estrato 5,5 a 6,Si,Si,380
URBANO,S,20,F,12,12,Estrato 6,5 a 6,Si,Si,340
URBANO,S,20,M,10,10,Estrato 5,5 a 6,Si,Si,400
URBANO,S,18,M,10,12,Estrato 4,1 a 2,Si,Si,380
URBANO,No se sabe,18,M,10,3,Estrato 6,3 a 4,Si,Si,320
URBANO,S,20,F,8,8,Estrato 5,3 a 4,Si,Si,320
RURAL,No se sabe,18,F,12,12,Estrato 5,5 a 6,Si,Si,340
URBANO,S,18,M,12,12,Estrato 4,3 a 4,Si,Si,340
URBANO,S,18,F,10,12,Estrato 5,5 a 6,Si,Si,400
URBANO,N,18,F,10,10,Estrato 4,3 a 4,Si,Si,400
URBANO,S,18,M,10,10,Estrato 5,3 a 4,Si,Si,320
URBANO,S,20,F,12,10,Estrato 6,3 a 4,Si,Si,240
URBANO,N,18,M,9,6,Estrato 4,3 a 4,Si,Si,320
URBANO,N,18,M,12,12,Estrato 4,3 a 4,Si,Si,380
URBANO,N,18,F,11,8,Estrato 2,3 a 4,Si,No,300
URBANO,S,16,M,12,12,Estrato 6,3 a 4,Si,Si,340
URBANO,S,18,F,12,7,Estrato 5,3 a 4,Si,Si,320
URBANO,No se sabe,18,M,8,9,Estrato 4,5 a 6,Si,Si,260
URBANO,S,18,M,10,10,Estrato 4,3 a 4,Si,Si,320
URBANO,S,18,F,12,10,Estrato 6,5 a 6,Si,Si,220
URBANO,No se sabe,18,M,10,10,Estrato 5,3 a 4,Si,Si,360
URBANO,S,20,F,10,12,Estrato 5,7 a 8,Si,Si,400
URBANO,No se sabe,18,F,12,10,Estrato 5,5 a 6,Si,Si,300
URBANO,S,20,F,10,10,Estrato 4,3 a 4,Si,Si,320
URBANO,S,18,F,10,12,Estrato 6,3 a 4,Si,Si,320
URBANO,No se sabe,18,F,8,10,Estrato 6,3 a 4,Si,Si,420
URBANO,S,18,M,12,12,Estrato 4,5 a 6,Si,Si,400
URBANO,S,18,F,10,10,Estrato 6,5 a 6,Si,Si,400
RURAL,No se sabe,18,F,10,11,Estrato 5,5 a 6,Si,Si,380
URBANO,S,18,F,12,10,Estrato 5,3 a 4,Si,Si,400
URBANO,S,18,F,11,10,Estrato 4,7 a 8,Si,Si,240
URBANO,No se sabe,18,M,8,11,Estrato 2,5 a 6,Si,Si,160
URBANO,S,20,M,10,3,Estrato 3,5 a 6,Si,Si,380
URBANO,S,20,M,10,12,Estrato 6,5 a 6,Si,Si,360
URBANO,S,16,M,12,12,Estrato 5,9 o mas,Si,Si,340
URBANO,S,18,F,12,12,Sin Estrato,7 a 8,Si,Si,340
URBANO,N,18,F,10,6,Estrato 4,3 a 4,Si,Si,320
URBANO,No se sabe,18,F,10,10,Estrato 4,3 a 4,Si,Si,320
URBANO,No se sabe,18,F,12,10,Estrato 5,3 a 4,Si,Si,380
URBANO,S,16,F,12,10,Estrato 4,5 a 6,Si,Si,400
URBANO,No se sabe,18,F,12,12,Estrato 4,3 a 4,Si,Si,340
URBANO,S,18,M,12,10,Estrato 5,3 a 4,Si,Si,380
URBANO,S,20,F,8,8,Estrato 5,3 a 4,Si,Si,400
URBANO,N,18,F,6,6,Estrato 3,3 a 4,Si,Si,300
URBANO,S,20,M,11,12,Estrato 6,3 a 4,Si,Si,380
URBANO,S,18,F,12,10,Estrato 5,5 a 6,Si,Si,360
URBANO,No se sabe,18,F,8,10,Estrato 4,3 a 4,No,Si,380
URBANO,S,16,F,12,10,Estrato 4,3 a 4,No,Si,340
URBANO,No se sabe,18,M,12,12,Estrato 3,3 a 4,No,Si,380
URBANO,S,20,F,10,10,Estrato 5,5 a 6,Si,Si,320
URBANO,S,20,F,10,10,Estrato 5,3 a 4,Si,Si,320
URBANO,S,20,F,10,6,Estrato 5,5 a 6,Si,Si,340
URBANO,No se sabe,18,M,10,10,Estrato 3,3 a 4,Si,Si,200
RURAL,No se sabe,18,F,10,10,Estrato 6,7 a 8,Si,Si,340
URBANO,N,18,M,6,7,Estrato 6,3 a 4,Si,Si,340
URBANO,S,18,M,10,12,Estrato 5,3 a 4,Si,Si,400
RURAL,No se sabe,18,F,12,12,Estrato 5,3 a 4,Si,Si,300
URBANO,S,18,M,12,12,Estrato 4,3 a 4,Si,Si,420
